id_client,sex,marital_status,age,flag_res_phone,area_code_res_phone,payment_day,residence_type,months_in_residence,months_in_the_job,profession_code,flag_other_card,flag_mobile_phone,flag_contact_phone,personal_net_income,quant_add_cards,bad
1,F,O,44,N,31,12,P,12,48,731,N,N,N,300,0,0
7,F,S,22,Y,31,12,A,0,48,999,N,N,N,410,0,0
9,F,S,27,Y,31,20,A,0,0,950,N,N,N,1000,0,1
12,F,C,32,Y,31,12,P,24,0,165,N,N,N,700,0,0
14,M,C,36,Y,31,12,P,120,36,15,N,N,N,1987,1,0
19,F,V,46,N,50,12,P,360,120,704,N,N,N,520,0,0
22,M,C,17,N,50,12,A,12,12,38,N,N,N,426,0,1
26,M,S,20,Y,50,12,P,12,24,39,N,N,N,285,0,1
28,F,D,71,Y,31,18,A,96,12,13,N,N,N,180,0,0
30,F,S,46,Y,31,8,P,72,12,801,N,N,N,442,0,0
32,F,S,23,N,31,18,P,276,0,999,N,N,N,280,0,1
35,F,S,23,Y,50,12,P,36,24,653,N,N,N,390,0,0
36,F,S,27,Y,31,23,P,24,12,72,N,N,N,350,0,0
38,F,O,31,N,50,28,P,168,72,801,N,N,N,451,0,0
40,F,O,30,Y,31,12,O,240,60,43,N,N,N,300,0,1
42,F,S,39,Y,31,18,A,24,0,205,N,N,N,220,0,0
45,M,D,26,N,31,12,P,120,0,999,N,N,N,2701,0,0
50,F,C,43,Y,31,18,A,96,240,501,N,N,N,350,0,0
51,F,S,34,N,31,28,P,120,24,205,N,N,N,500,0,0
52,F,S,23,Y,50,18,P,276,24,950,N,N,N,300,0,0
66,F,S,21,Y,31,8,A,0,12,40,N,N,N,410,0,0
68,F,S,45,Y,31,18,O,84,84,307,N,N,N,700,0,0
69,M,S,19,N,50,18,P,228,0,702,N,N,N,200,0,1
78,M,S,24,Y,31,3,P,288,24,520,N,N,N,355,0,0
84,M,S,19,Y,31,20,P,60,48,39,N,N,N,154,0,0
85,F,C,45,Y,31,8,P,240,276,999,N,N,N,542,0,0
86,F,D,38,Y,31,8,P,72,12,1,N,N,N,21193,0,0
91,M,S,20,Y,50,8,C,216,24,514,N,N,N,764,1,0
94,M,C,41,Y,50,20,P,180,24,865,N,N,N,800,1,1
97,F,S,38,Y,31,12,P,288,12,263,N,N,N,700,0,1
99,F,S,19,Y,31,1,C,228,0,30,N,N,N,340,0,0
102,F,C,57,N,31,18,P,36,0,703,N,N,N,519,0,0
103,F,V,49,Y,31,18,P,120,0,703,N,N,N,336,0,0
106,M,C,26,Y,5,18,P,36,36,70,N,N,N,2000,1,0
107,M,S,28,Y,31,1,A,12,12,999,N,N,N,1029,0,0
108,F,S,28,Y,31,12,P,24,24,992,N,N,N,1000,0,0
116,F,C,30,Y,31,8,O,48,24,717,N,N,N,1600,0,0
117,F,C,51,Y,31,8,P,24,0,704,N,N,N,452,0,0
122,F,D,41,Y,31,12,P,36,72,712,N,N,N,820,0,0
123,F,C,36,Y,50,3,P,132,60,950,N,N,N,500,1,0
124,F,S,52,Y,31,12,P,360,252,251,N,N,N,400,0,0
127,F,C,52,Y,5,8,P,300,60,13,N,N,N,1399,0,0
131,F,S,19,Y,31,12,C,228,12,46,N,N,N,381,0,0
134,F,V,46,Y,50,18,P,192,84,703,N,N,N,656,0,0
137,M,C,57,Y,31,8,P,120,240,514,N,N,N,4000,1,0
138,M,C,64,Y,31,8,P,108,96,707,N,N,N,449,1,0
140,F,S,34,N,31,28,C,60,84,205,N,N,N,540,0,0
141,M,S,19,N,50,12,P,180,12,63,N,N,N,182,0,0
142,M,C,43,Y,31,3,P,60,48,863,N,N,N,1300,1,0
146,M,S,32,N,50,18,O,12,24,26,N,N,N,226,0,0
153,M,S,21,Y,5,20,P,228,12,806,N,N,N,300,0,1
155,F,C,55,Y,31,1,A,36,180,131,N,N,N,1200,0,1
160,F,S,36,Y,31,12,O,180,180,40,N,N,N,382,0,0
162,M,S,27,N,50,18,P,48,24,999,N,N,N,575,0,1
167,M,S,21,Y,31,28,A,36,12,707,N,N,N,378,0,0
170,M,C,74,N,50,8,P,360,12,13,N,N,N,1316,1,1
172,M,C,24,Y,31,23,P,96,60,110,N,N,N,476,1,0
175,F,D,57,Y,31,12,P,276,0,13,N,N,N,2200,0,0
178,F,C,31,N,50,1,P,12,12,251,N,N,N,180,0,0
180,F,S,19,N,50,20,O,24,12,61,N,N,N,500,0,1
182,M,C,65,Y,31,12,P,324,36,13,N,N,N,180,0,0
183,M,S,20,Y,1,3,C,240,24,514,N,N,N,350,0,0
185,F,S,38,Y,31,8,P,36,24,501,N,N,N,700,0,0
186,M,S,19,N,31,12,P,180,36,254,N,N,N,255,0,1
189,F,S,37,Y,31,8,P,360,60,205,N,N,N,550,0,0
191,M,C,39,Y,31,25,P,72,72,999,N,N,N,340,0,0
192,F,C,43,Y,31,8,A,36,12,992,N,N,N,570,0,0
196,M,O,24,Y,31,12,P,72,60,706,N,N,N,480,0,1
197,F,S,24,Y,31,8,P,60,12,264,N,N,N,203,0,1
199,F,S,20,Y,31,3,P,156,12,26,N,N,N,235,0,1
201,M,S,21,Y,31,8,A,24,12,999,N,N,N,309,0,0
202,F,S,34,Y,31,8,P,240,60,950,N,N,N,800,0,0
208,F,V,41,Y,31,23,P,360,0,703,N,N,N,445,0,0
210,F,D,54,Y,31,12,P,372,60,703,N,N,N,340,0,0
